sname,,登記選民人數,8:30,9:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30,
A0101,JOINT PROFASSIONAL CENTER,"3,428",40,114,223,374,537,707,866,"1,014","1,175","1,331","1,474","1,618","1,755","1,920","2,032",
A0102,HONG KONG PARK SPORTS CENTRE,"4,973",52,131,261,467,663,841,"1,025","1,243","1,501","1,730","1,975","2,193","2,355","2,580","2,834",
A0201,RAIMONDI COLLEGE,"7,266",86,313,771,771,"1,121","1,421","1,734","1,989","2,351","2,748","3,203","3,447","3,807","4,313","4,767",
A0301,HK TRUE LIGHT KINDERGARTEN (CAINE ROAD),"4,414",44,163,329,506,678,885,"1,169","1,308","1,489","1,705","1,905","2,111","2,317","2,521","2,805",
A0302,CENTRE FOR FOOD SAFETY,"1,750",17,56,108,174,245,327,396,469,567,661,748,823,895,987,"1,056",
A0401,GERMAN SWISS INTERNATIONAL SCHOOL PEAK CAMPUS,"1,191",22,35,62,106,175,228,271,303,365,421,490,545,584,643,703,
A0501,SAI YING PUN COMMUNITY COMPLEX COMMUNITY HALL,"7,591",112,251,507,820,"1,153","1,527","1,936","2,314","2,719","3,093","3,412","3,785","3,785","4,492","4,959",
A0601,HKYWCA WESTERN DISTRICT INTEGRATED SOCIAL SERVICE CENTRE,"7,094",113,327,634,928,"1,257","1,604","1,913","2,218","2,549","2,854","3,130","3,443","3,814","4,210","4,555",
"A0701
",SMITHFIELD SPORTS CENTRE,"9,112",190,496,868,"1,211","1,557","1,998","2,358","2,721","3,060","3,528","3,920","4,308","4,704","5,213","5,641",
A0801,"
KENNEDY TOWN COMMUNITY COMPLEX (MULTI-PURPOSE FUNCTION ROOM)","7,619",114,327,600,970,"1,376","1,674","2,046","2,434","2,778","3,159","3,448","3,763","4,135","4,558","4,926",
A0901,VICTORIA (BELCHER) KINDERGARTEN,"9,778",96,341,659,945,"1,313","1,607","1,935","2,250","2,569","2,949","3,336","3,351","4,133","4,520","5,892",
A1001,SHEK TONG TSUI SPORTS CENTRE,"9,938",178,419,699,"1,186","1,460","1,813","2,147","2,147","2,907","3,385","3,782","4,152","4,400","4,979","5,770",
A1101,CENTRAL AND WESTERN / ISLANDS SOCIAL SECURITY FIELD UNIT,"4,907",74,210,358,548,748,960,"1,156","1,377","1,578","1,751","1,948","2,144","2,349","2,540","2,721",
A1102,SUN YAT SEN MEMORIAL PARK SPORTS CENTRE,"2,327",51,105,161,254,339,416,495,573,663,766,853,933,"1,038","1,140","1,231",
A1201,SHEUNG WAN POST OFFICE ,"5,315",59,196,382,620,863,"1,111","1,362","1,594","1,858","2,092","2,357","2,570","2,784","3,029","3,219",
A1301,SAN WUI COMMERCIAL SOCIETY SCHOOL,"1,991",42,89,158,237,315,392,471,558,648,764,845,926,997,"1,085","1,158",
A1302 ,SKH ST. MATTHEW'S PRIMARY SCHOOL,"4,532",52,163,335,554,748,987,"1,198","1,428","1,644","1,816","1,974","2,187","2,380","2,559","2,752",
A1401,TSUNG TSIN MISSION OF HONG KONG KAU YAN CHURCH AND KAU YAN SCHOOL,"6,583",114,287,533,833,"1,183","1,443","1,443","1,987","2,289","2,494","2,789","3,122","3,435","3,863","4,131",
A1501,LI SING PRIMARY SCHOOL ,"5,166",75,251,400,646,889,"1,138","1,368","1,583","1,819","2,007","2,195","2,441","2,677","2,988","3,288",
B0101 ,HENNESSY ROAD GOVERNMENT PRIMARY SCHOOL ,"5,521",48,185,365,607,826,"1,088","1,302","1,544","1,816","2,036","2,239","2,424","2,642","2,834","3,020",
B0201,TANG SHIU KIN VICTORIA GOVERNMENT SECONDARY SCHOOL,"5,057",70,193,372,554,782,979,"1,191","1,435","1,643","1,893","2,172","2,369","2,478","2,642","2,871",
B0301,FORMER WANCHAI SCHOOL ,"7,332",0,261,490,673,"1,162","1,362","1,362","1,886","2,180","2,757","3,069","3,069","3,616","3,787","4,031",
B0401,QUEEN'S COLLEGE,"8,029",86,253,498,828,"1,147","1,522","1,809","2,194","2,541","2,928","3,338","3,636","3,991","4,400","4,835",
B0501 ,ISLAND CHILDREN'S MONTESSORI SCHOOL,"1,491",19,62,108,184,272,343,410,488,558,635,700,775,826,900,989,
B0502,"COVERED CARPARK OF TSUEN WING LAU, LAI TAK TSUEN ","4,252",78,243,418,628,776,962,"1,162","1,372","1,551","1,684","1,874","2,105","2,253","2,426","2,595",
B0601,"WAN CHAI DISTRICT ARTS, CULTURAL, RECREATIONAL & SPORTS ASSOCIATION ","5,046",49,143,255,455,644,811,"1,001","1,173","1,420","1,614","1,820","1,988","2,144","2,346","2,549",
B0701,WAN CHAI DISTRICT WOMEN'S ASSOCIATION ,"5,756",67,192,393,609,840,"1,091","1,342","1,558","1,773","2,066","2,372","2,632","2,899","3,133","3,586",
B0801 ,CCC KUNG LEE COLLEGE ,"6,060",70,182,356,650,929,"1,162","1,413","1,709","2,032","2,256","2,589","2,910","3,203","3,490","3,863",
B0901 ,LEIGHTON HILL COMMUNITY HALL ,"5,438",54,163,312,522,738,991,"1,315","1,647","1,907","2,152","2,442","2,641","2,928","3,224","3,627",
B1001 ,WONG NAI CHUNG SPORTS CENTRE ,"5,202",68,225,345,546,796,"1,043","1,250","1,497","1,722","1,965","2,186","2,377","2,604","2,846","3,113",
B1101,PRECIOUS BLOOD PRIMARY SCHOOL,"1,186",32,58,100,152,228,293,331,377,435,498,541,582,627,709,759,
B1102,HONG KONG CHILDREN & YOUTH SERVICES SING WOO CHILDREN & YOUTH CENTRE,"1,742",36,63,95,163,211,294,369,461,562,628,702,759,827,909,986,
B1201,WAN CHAI POST OFFICE ,"4,718",70,183,337,528,725,940,"1,147","1,343","1,576","1,755","1,955","2,162","2,381","2,602","2,823",
B1301,METHODIST CENTRE ,"4,801",83,216,388,629,869,"1,061","1,233","1,428","1,633","1,830","2,023","2,203","2,404","2,623","2,769",
C0101,EASTERN DISTRICT JPC CLUB HOUSE,"8,948",97,288,537,805,"1,057","1,343","1,611","1,939","2,200","2,529","2,827","3,116","3,461","3,822","5,529",
C0201,ST. ANNA ANGLO-CHINESE KINDERGARTEN ,"5,092",69,197,336,528,730,954,"1,137","1,362","1,583","1,848","2,076","2,310","2,570","2,827","3,343",
C0202 ,TAI KOO SHING POST OFFICE,"4,946",83,169,323,543,754,"1,000","1,189","1,400","1,624","1,875","2,082","2,304","2,516","2,755","3,351",
C0301,SAI WAN HO HEALTH CENTRE ,"6,589",87,128,392,828,"1,125","1,426","1,814","2,054","2,341","2,672","2,982","3,349","3,579","3,871","4,705",
C0401,CCC KEI WAN PRIMARY SCHOOL (ALDRICH BAY),"11,461",153,397,774,"1,213","1,725","2,159","2,612","3,103","3,590","4,119","4,577","5,000","5,510","6,044","6,679",
C0501,SHAU KEI WAN POST OFFICE ,"5,720",85,225,401,632,867,"1,188","1,424","1,721","1,998","2,198","2,509","2,740","3,000","3,300","3,548",
C0601,ALDRICH BAY GOVERNMENT PRIMARY SCHOOL ,"5,799",66,166,347,589,810,"1,022","1,222","1,518","1,764","1,998","2,233","2,494","2,772","3,109","3,466",
C0602,SHAU KEI WAN GOVERNMENT PRIMARY SCHOOL ,"6,096",88,281,520,785,"1,067","1,306","1,566","1,781","2,036","2,297","2,533","2,761","3,012","3,245","3,446",
C0701,LINGNAN SECONDARY SCHOOL,"10,859",132,397,786,"1,195","1,834","2,321","2,957","3,486","4,099","4,705","5,278","5,880","6,471","7,059","8,192",
C0801,SKH LI FOOK HING SECONDARY SCHOOL ,"8,217",156,356,642,902,"1,261","1,592","1,944","2,272","2,611","2,990","3,320","3,651","3,969","4,387","4,731",
C0901,FUKIEN SECONDARY SCHOOL (SIU SAI WAN),"9,351",96,246,531,926,"1,377","1,778","2,198","2,657","3,181","3,664","4,109","4,544","4,921","5,362","6,148",
C1001,SIU SAI WAN COMMUNITY HALL ,"10,342",114,337,683,"1,051","1,444","1,846","2,319","2,679","3,125","3,595","4,049","4,644","5,111","5,444","5,885",
C1101,LINGNAN HANG YEE MEMORIAL SECONDARY SCHOOL ,"11,300",191,487,868,"1,315","1,830","2,304","2,763","3,236","3,768","4,366","4,849","5,353","5,807","6,431","7,086",
C1201,THE SALVATION ARMY CENTALINE CHARITY FUND SCHOOL,"8,549",114,287,601,877,"1,190","1,492","1,798","2,182","2,558","2,838","3,168","3,505","3,847","4,189","4,580",
C1301,COGNITIO COLLEGE (HONG KONG) ,"9,180",126,391,686,"1,096","1,457","1,760","2,117","2,461","2,819","3,155","3,517","3,783","4,150","4,444","4,773",
C1401,QUARRY BAY SPORTS CENTRE,"10,450",172,431,792,"1,212","1,619","1,993","2,448","2,876","3,316","3,776","4,270","4,698","5,213","5,659","6,090",
C1501,MAN KIU COLLEGE ,"7,007",96,273,459,742,"1,077","1,349","1,719","1,987","2,419","2,786","3,137","3,506","3,806","4,195","4,726",
C1601,CLEMENTI SECONDARY SCHOOL,"6,418",106,248,478,740,"1,077","1,324","1,603","1,937","2,267","2,603","2,905","3,191","3,478","3,771","4,226",
C1701,CAUSEWAY BAY COMMUNITY CENTRE,"4,185",61,175,304,529,730,892,"1,084","1,267","1,459","1,629","1,808","2,008","2,192","2,372","2,569",
